epoch,test_loss,test_acc,bkd_loss,bkd_acc,lr
-2,0.0023103153944015503,13.01,0.0023103153944015503,13.01,0.009979993331110371
-1,0.002155374574661255,23.82,0.002155374574661255,23.82,0.009986662220740248
0,0.002199175548553467,21.61,0.002199175548553467,21.61,0.009993331110370124
1,0.001868295168876648,30.8,0.001868295168876648,30.8,0.01
2,0.0018963075995445252,31.31,0.0018963075995445252,31.31,0.010006668889629877
3,0.001852402687072754,34.55,0.001852402687072754,34.55,0.010013337779259755
4,0.0017143696308135987,35.65,0.0017143696308135987,35.65,0.010020006668889631
5,0.0016410459637641907,39.46,0.0016410459637641907,39.46,0.010026675558519507
6,0.0015135532855987549,42.39,0.0015135532855987549,42.39,0.010033344448149384
7,0.0017267323851585389,35.13,0.0017267323851585389,35.13,0.01004001333777926
8,0.0015972473978996277,40.36,0.0015972473978996277,40.36,0.010046682227409136
9,0.001659464693069458,41.61,0.001659464693069458,41.61,0.010053351117039014
10,0.0015129671692848206,43.96,0.0015129671692848206,43.96,0.01006002000666889
11,0.0015381977796554566,43.64,0.0015381977796554566,43.64,0.010066688896298767
12,0.0014746788144111634,44.62,0.0014746788144111634,44.62,0.010073357785928643
13,0.001373861300945282,48.46,0.001373861300945282,48.46,0.01008002667555852
14,0.0015092531204223634,44.3,0.0015092531204223634,44.3,0.010086695565188398
15,0.0012995226144790649,51.06,0.0012995226144790649,51.06,0.010093364454818274
16,0.0014283636569976806,47.12,0.0014283636569976806,47.12,0.01010003334444815
17,0.0012664162755012512,53.37,0.0012664162755012512,53.37,0.010106702234078026
18,0.001292295503616333,53.13,0.001292295503616333,53.13,0.010113371123707903
19,0.0012770586133003235,53.32,0.0012770586133003235,53.32,0.010120040013337779
20,0.0013210333585739135,52.73,0.0013210333585739135,52.73,0.010126708902967657
21,0.001146087920665741,58.879999999999995,0.001146087920665741,58.879999999999995,0.010133377792597533
22,0.00126825053691864,54.21,0.00126825053691864,54.21,0.01014004668222741
23,0.0013542995929718016,51.339999999999996,0.0013542995929718016,51.339999999999996,0.010146715571857286
24,0.0014660146236419678,50.68,0.0014660146236419678,50.68,0.010153384461487162
25,0.001273607385158539,53.459999999999994,0.001273607385158539,53.459999999999994,0.010160053351117039
26,0.0011379958271980285,58.37,0.0011379958271980285,58.37,0.010166722240746917
27,0.0012084350228309631,56.07,0.0012084350228309631,56.07,0.010173391130376793
28,0.0011449313759803771,57.620000000000005,0.0011449313759803771,57.620000000000005,0.01018006002000667
29,0.0010972090244293212,60.480000000000004,0.0010972090244293212,60.480000000000004,0.010186728909636546
30,0.0010580442905426025,61.82,0.0010580442905426025,61.82,0.010193397799266422
31,0.0011438112258911133,59.330000000000005,0.0011438112258911133,59.330000000000005,0.0102000666888963
32,0.0011409632205963134,59.440000000000005,0.0011409632205963134,59.440000000000005,0.010206735578526176
33,0.0010473339796066284,62.31,0.0010473339796066284,62.31,0.010213404468156053
34,0.0010593142151832581,62.2,0.0010593142151832581,62.2,0.010220073357785929
35,0.0012047382712364197,54.510000000000005,0.0012047382712364197,54.510000000000005,0.010226742247415805
36,0.0011142832159996032,60.33,0.0011142832159996032,60.33,0.010233411137045682
37,0.0011051279425621033,60.019999999999996,0.0011051279425621033,60.019999999999996,0.01024008002667556
38,0.0012718361735343934,54.96,0.0012718361735343934,54.96,0.010246748916305436
39,0.0011798572540283204,59.01,0.0011798572540283204,59.01,0.010253417805935312
40,0.0010825731635093689,60.97,0.0010825731635093689,60.97,0.010260086695565189
41,0.001113358736038208,58.720000000000006,0.001113358736038208,58.720000000000006,0.010266755585195065
42,0.001007564640045166,63.53,0.001007564640045166,63.53,0.010273424474824941
43,0.0011029670596122742,60.6,0.0011029670596122742,60.6,0.01028009336445482
44,0.0009374158978462219,66.05,0.0009374158978462219,66.05,0.010286762254084696
45,0.0008920304834842682,68.0,0.0008920304834842682,68.0,0.010293431143714572
46,0.0009735250413417816,65.53,0.0009735250413417816,65.53,0.010300100033344448
47,0.0009722158193588257,65.42,0.0009722158193588257,65.42,0.010306768922974325
48,0.000949460881948471,65.19,0.000949460881948471,65.19,0.010313437812604203
49,0.0010653210043907165,62.029999999999994,0.0010653210043907165,62.029999999999994,0.010320106702234079
50,0.0011655730962753295,57.52,0.0011655730962753295,57.52,0.010326775591863955
51,0.0011236820816993714,61.24000000000001,0.0011236820816993714,61.24000000000001,0.010333444481493832
52,0.000928618049621582,67.67999999999999,0.000928618049621582,67.67999999999999,0.010340113371123708
53,0.0009342352867126465,65.46,0.0009342352867126465,65.46,0.010346782260753586
54,0.0008967028796672821,67.88,0.0008967028796672821,67.88,0.010353451150383462
55,0.0009227144002914428,66.66,0.0009227144002914428,66.66,0.010360120040013339
56,0.0010940934419631958,61.12,0.0010940934419631958,61.12,0.010366788929643215
57,0.0011004488706588746,63.4,0.0011004488706588746,63.4,0.010373457819273091
58,0.0009974840939044952,64.31,0.0009974840939044952,64.31,0.010380126708902968
59,0.0009278931438922882,67.97,0.0009278931438922882,67.97,0.010386795598532846
60,0.0008572589874267578,69.53,0.0008572589874267578,69.53,0.010393464488162722
61,0.001077347958087921,62.38,0.001077347958087921,62.38,0.010400133377792598
62,0.0010006782054901124,66.71000000000001,0.0010006782054901124,66.71000000000001,0.010406802267422475
63,0.0009760266482830047,66.94,0.0009760266482830047,66.94,0.01041347115705235
64,0.0008065540909767151,71.50999999999999,0.0008065540909767151,71.50999999999999,0.010420140046682227
